"NO","PACKAGING TYPE","WORK ORDER","PO NO.","ITEM NO.","BRAND","COMPANY","CUSTOMER GROUP","BATERY TYPE","CELL GRADE","ORDER QTY","CR DATE","PRICE","STANDARD PRICE","TERM","CURRENCY","SALES AMOUNT","QTY WH","QTY IN TRANSIT","SALES MOUNT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"1","AUTO SHRINK","0008508-LR6C1-1","'0008508","21571","MAXELL V LR6 2S","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR6","C1","115,200","08-DEC-17","0.101","0.098","FOB","USD","11,635","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230,400","22,579"
"2","AUTO SHRINK","FI/17-114-LR6G07NC-1","'FI/17-114","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","27,648","05-JAN-18","0.1071","0.1026","FOB","USD","2,961","27,648","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","AUTO SHRINK","FI/17-115-LR6G07NC-1","'FI/17-115","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","27,648","05-JAN-18","0.1071","0.1026","FOB","USD","2,961","27,648","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","AUTO SHRINK","FI/17-116-LR6G07NC-1","'FI/17-116","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","48,384","05-JAN-18","0.1071","0.1026","FOB","USD","5,182","48,384","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","AUTO SHRINK","FI/17-118-LR6G07NC-1","'FI/17-118","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","262,656","05-JAN-18","0.1071","0.1026","FOB","USD","28,130","262,656","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","AUTO SHRINK","FI/17-133-LR6G07NC-3","'FI/17-133","88685","AMAZON BSC INDIA LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON INDIA","LR6","G07NC","20,736","05-DEC-17","0.1071","0.1025","FOB","USD","2,221","0","20,736","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41,472","4,251"
"7","AUTO SHRINK","FI/17-134-LR6G07NC-3","'FI/17-134","88685","AMAZON BSC INDIA LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON INDIA","LR6","G07NC","13,824","05-DEC-17","0.1071","0.1025","FOB","USD","1,481","0","13,824","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27,648","2,834"
"8","AUTO SHRINK","FI/17-135-LR6G07NC-3","'FI/17-135","88685","AMAZON BSC INDIA LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON INDIA","LR6","G07NC","13,824","05-DEC-17","0.1071","0.1025","FOB","USD","1,481","13,824","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,824","1,417"
"9","AUTO SHRINK","FI/17-137-LR6G07NC-1","'FI/17-137","88685","AMAZON BSC INDIA LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON INDIA","LR6","G07NC","6,912","05-DEC-17","0.1071","0.1025","FOB","USD","740","0","6,912","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,824","1,417"
"10","AUTO SHRINK","FI/17-144-LR6G07NC-5","'FI/17-144","88682","AMAZON BASICS EU LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON EU","LR6","G07NC","279,936","15-JAN-18","0.1071","0.1026","FOB","USD","29,981","279,936","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","AUTO SHRINK","FI/17-146-LR6G07NC-1","'FI/17-146","88680","AMAZON BASICS US LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","850,176","13-DEC-17","0.1071","0.1026","FOB","USD","91,054","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","953,856","97,866"
